state,state_abbr,addon_type,allocation_method,notes,statute_citation,source
Alabama,AL,childcare,pro_rata,Work-related childcare costs shared proportional to income,Ala. R. Jud. Admin. R. 32(B)(7),https://judicial.alabama.gov/docs/library/rules/ja32.pdf
Alabama,AL,medical,pro_rata,Health insurance premiums shared proportional to income; unreimbursed expenses shared equally or pro rata,Ala. R. Jud. Admin. R. 32(B)(8),https://judicial.alabama.gov/docs/library/rules/ja32.pdf
Alabama,AL,education,judicial_discretion,Private school or special education expenses at court discretion,Ala. R. Jud. Admin. R. 32(B)(7),https://judicial.alabama.gov/docs/library/rules/ja32.pdf
Alaska,AK,childcare,pro_rata,Work-related childcare deducted before applying percentage,Alaska R. Civ. P. 90.3(a)(1)(C),https://courts.alaska.gov/rules/docs/civ90-3.pdf
Alaska,AK,medical,pro_rata,Health insurance and unreimbursed medical costs shared pro rata,Alaska R. Civ. P. 90.3(a)(1)(B),https://courts.alaska.gov/rules/docs/civ90-3.pdf
Alaska,AK,education,judicial_discretion,Not typically included unless special circumstances,Alaska R. Civ. P. 90.3(c),https://courts.alaska.gov/rules/docs/civ90-3.pdf
Arizona,AZ,childcare,pro_rata,Work-related childcare shared proportional to income,A.R.S. § 25-320 Guidelines § 9,https://www.azcourts.gov/familylaw/Child-Support-Guidelines
Arizona,AZ,medical,pro_rata,Health insurance premiums and unreimbursed medical expenses shared pro rata,A.R.S. § 25-320 Guidelines § 8,https://www.azcourts.gov/familylaw/Child-Support-Guidelines
Arizona,AZ,education,judicial_discretion,Private education costs at court discretion; not standard add-on,A.R.S. § 25-320 Guidelines § 22,https://www.azcourts.gov/familylaw/Child-Support-Guidelines
Arkansas,AR,childcare,pro_rata,Reasonable work-related childcare shared proportional to income,Ark. Admin. Order No. 10 § III(B),https://www.arcourts.gov/content/administrative-order-10-arkansas-child-support-guidelines
Arkansas,AR,medical,pro_rata,Health insurance and unreimbursed medical shared proportional to income,Ark. Admin. Order No. 10 § III(C),https://www.arcourts.gov/content/administrative-order-10-arkansas-child-support-guidelines
Arkansas,AR,education,judicial_discretion,Not standard add-on; court may consider as deviation factor,Ark. Admin. Order No. 10 § IV,https://www.arcourts.gov/content/administrative-order-10-arkansas-child-support-guidelines
California,CA,childcare,pro_rata,"Work-related childcare added to guideline amount; shared pro rata per SB 343 (eff. Sept 2024)","Cal. Fam. Code § 4062(a)(1)",https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=FAM&division=9.&part=2.&chapter=2.&article=2.
California,CA,medical,pro_rata,Unreimbursed health care costs shared pro rata; insurance through employment mandatory,"Cal. Fam. Code § 4062(a)(2)",https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=FAM&division=9.&part=2.&chapter=2.&article=2.
California,CA,education,pro_rata,Special education needs and reasonable educational costs shared pro rata if agreed or ordered,"Cal. Fam. Code § 4062(b)(1)",https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=FAM&division=9.&part=2.&chapter=2.&article=2.
Colorado,CO,childcare,pro_rata,Work-related childcare shared proportional to adjusted gross income,C.R.S. § 14-10-115(7)(a),https://law.justia.com/codes/colorado/title-14/dissolution-of-marriage-parental-responsibilities/article-10/section-14-10-115/
Colorado,CO,medical,pro_rata,Health insurance and extraordinary medical expenses shared pro rata,C.R.S. § 14-10-115(7)(b),https://law.justia.com/codes/colorado/title-14/dissolution-of-marriage-parental-responsibilities/article-10/section-14-10-115/
Colorado,CO,education,judicial_discretion,Educational expenses not standard add-on; may be deviation factor,C.R.S. § 14-10-115(6)(b),https://law.justia.com/codes/colorado/title-14/dissolution-of-marriage-parental-responsibilities/article-10/section-14-10-115/
Connecticut,CT,childcare,pro_rata,Work-related childcare shared proportional to net income,Conn. Child Support Guidelines § 46b-215a-2c(d),https://www.jud.ct.gov/publications/childsupport/csguidelines.pdf
Connecticut,CT,medical,pro_rata,Health insurance premiums and unreimbursed medical costs shared pro rata,Conn. Child Support Guidelines § 46b-215a-2c(e),https://www.jud.ct.gov/publications/childsupport/csguidelines.pdf
Connecticut,CT,education,judicial_discretion,Not standard add-on; deviation factor for special needs,Conn. Child Support Guidelines § 46b-215a-3c,https://www.jud.ct.gov/publications/childsupport/csguidelines.pdf
Delaware,DE,childcare,pro_rata,Work-related childcare added to Melson formula allocation,Del. Fam. Ct. Civ. R. 504(b),https://courts.delaware.gov/rules/
Delaware,DE,medical,pro_rata,Health insurance and unreimbursed medical shared pro rata on income basis,Del. Fam. Ct. Civ. R. 504(c),https://courts.delaware.gov/rules/
Delaware,DE,education,judicial_discretion,Private school costs at court discretion; not standard in Melson formula,Del. Fam. Ct. Civ. R. 507,https://courts.delaware.gov/rules/
Florida,FL,childcare,pro_rata,Work-related childcare shared pro rata based on income percentages,Fla. Stat. § 61.30(7),https://www.flsenate.gov/Laws/Statutes/2025/61.30
Florida,FL,medical,pro_rata,Health insurance premiums and unreimbursed expenses shared pro rata,Fla. Stat. § 61.30(8),https://www.flsenate.gov/Laws/Statutes/2025/61.30
Florida,FL,education,judicial_discretion,Private school/special education may be added at court discretion,Fla. Stat. § 61.30(1)(a)13,https://www.flsenate.gov/Laws/Statutes/2025/61.30
