state,state_abbr,model_type,model_subtype,effective_date,review_cycle_years,statute_citation,source
Alabama,AL,income_shares,,2023-06-01,4,"Ala. R. Jud. Admin. R. 32",https://judicial.alabama.gov/docs/library/rules/ja32.pdf
Alaska,AK,percentage_of_income,flat,2023-10-16,4,"Alaska R. Civ. P. 90.3",https://courts.alaska.gov/rules/docs/civ90-3.pdf
Arizona,AZ,income_shares,,2022-01-01,4,"A.R.S. § 25-320; Arizona Child Support Guidelines",https://www.azcourts.gov/familylaw/Child-Support-Guidelines
Arkansas,AR,income_shares,,2020-07-01,4,"Ark. Admin. Order No. 10",https://www.arcourts.gov/content/administrative-order-10-arkansas-child-support-guidelines
California,CA,income_shares,,2024-09-01,4,"Cal. Fam. Code §§ 4050-4076",https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=FAM&division=9.&part=2.&chapter=2.&article=2.
Colorado,CO,income_shares,,2024-07-01,4,"C.R.S. § 14-10-115",https://law.justia.com/codes/colorado/title-14/dissolution-of-marriage-parental-responsibilities/article-10/section-14-10-115/
Connecticut,CT,income_shares,,2015-07-01,4,"Conn. Gen. Stat. § 46b-215a; Regs. § 46b-215a-1 to -5c",https://www.jud.ct.gov/publications/childsupport/csguidelines.pdf
Delaware,DE,melson_formula,,2023-02-01,4,"Del. Fam. Ct. Civ. R. 500-509; Del. Code tit. 13",https://courts.delaware.gov/rules/
Florida,FL,income_shares,,2024-07-01,4,"Fla. Stat. § 61.30",https://www.flsenate.gov/Laws/Statutes/2025/61.30
Georgia,GA,income_shares,,2024-07-01,4,"O.C.G.A. § 19-6-15",https://law.justia.com/codes/georgia/title-19/chapter-6/section-19-6-15/
Hawaii,HI,melson_formula,,2024-04-01,4,"Haw. Rev. Stat. §§ 571-52.5; 576D-7",https://www.courts.state.hi.us/wp-content/uploads/2020/10/Child_Support_Guidelines_2024.pdf
Idaho,ID,income_shares,,2022-07-01,4,"Idaho R. Fam. L.P. 126 (formerly R. Civ. P. 6(c)(6))",https://isc.idaho.gov/irflp120
Illinois,IL,income_shares,,2017-07-01,4,"750 ILCS 5/505",https://hfs.illinois.gov/childsupport/parents/incomeshares.html
Indiana,IN,income_shares,,2024-01-01,4,"Ind. Child Support R. & Guidelines; Ind. Code tit. 31 art. 16",https://rules.incourts.gov/Content/child-support/default.htm
Iowa,IA,income_shares,,2022-01-01,4,"Iowa Ct. R. ch. 9 (§§ 9.1-9.14); Iowa Code § 598.21C",https://www.legis.iowa.gov/docs/ACO/CourtRulesChapter/9.pdf
Kansas,KS,income_shares,,2025-05-01,4,"Kan. Admin. Order No. 307; Kan. Sup. Ct. R.",https://kscourts.gov/About-the-Courts/Programs/Child-Support-Guidelines
Kentucky,KY,income_shares,,2023-03-31,4,"Ky. Rev. Stat. § 403.212",https://apps.legislature.ky.gov/law/Statutes/statute.aspx?id=55832
Louisiana,LA,income_shares,,2025-01-01,4,"La. Rev. Stat. §§ 9:315-9:315.47",https://law.justia.com/codes/louisiana/revised-statutes/title-9/rs-9-315-1/
Maine,ME,income_shares,,2021-10-18,4,"Me. Rev. Stat. tit. 19-A §§ 2001-2012",https://legislature.maine.gov/statutes/19-a/title19-Ach63sec0.html
Maryland,MD,income_shares,,2025-10-01,4,"Md. Code Fam. Law §§ 12-201 to 12-204",https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=gfl&section=12-204
Massachusetts,MA,income_shares,,2025-12-01,4,"Mass. Gen. Laws ch. 208 § 28; ch. 209C § 9; Child Support Guidelines",https://www.mass.gov/resource/2025-child-support-guidelines
Michigan,MI,income_shares,,2025-01-01,4,"Mich. Comp. Laws § 552.605; Michigan Child Support Formula",https://www.courts.michigan.gov/4a7a53/siteassets/court-administration/standardsguidelines/foc/2025mcsf.pdf
Minnesota,MN,income_shares,,2018-08-01,4,"Minn. Stat. §§ 518A.26-518A.78",https://www.revisor.mn.gov/statutes/cite/518A.35
Mississippi,MS,percentage_of_income,flat,2009-07-01,4,"Miss. Code §§ 43-19-101 to 43-19-103",https://law.justia.com/codes/mississippi/title-43/chapter-19/child-support-award-guidelines/section-43-19-101/
Missouri,MO,income_shares,,2023-01-01,4,"Mo. Rev. Stat. § 452.340; Mo. Sup. Ct. R. 88.01; Civ. P. Form 14",https://www.courts.mo.gov/page.jsp?id=199857
Montana,MT,melson_formula,,2022-07-01,4,"Mont. Admin. R. 37.62.101-37.62.146",https://dphhs.mt.gov/cssd/services/Guidelines
Nebraska,NE,income_shares,,2024-01-01,4,"Neb. Ct. R. §§ 4-201 to 4-220",https://nebraskajudicial.gov/supreme-court-rules/chapter-4-children-and-families/article-2-child-support-guidelines
Nevada,NV,percentage_of_income,varying,2020-02-01,4,"Nev. Rev. Stat. ch. 125B; Nev. Admin. Code ch. 425",https://www.leg.state.nv.us/nac/NAC-425.html
New Hampshire,NH,income_shares,,2025-01-01,4,"N.H. Rev. Stat. §§ 458-C:1 to 458-C:7",https://gc.nh.gov/rsa/html/xliii/458-c/458-c-mrg.htm
New Jersey,NJ,income_shares,,2025-06-01,4,"N.J. R. Ct. 5:6A; App. IX-A to IX-H",https://www.njcourts.gov/glossary/new-jersey-child-support-guidelines
New Mexico,NM,income_shares,,2024-01-01,4,"N.M. Stat. §§ 40-4-11.1 to 40-4-11.6",https://law.justia.com/codes/new-mexico/chapter-40/article-4/section-40-4-11-1/
New York,NY,income_shares,,2024-03-01,4,"N.Y. Dom. Rel. Law § 240(1-b)",https://codes.findlaw.com/ny/domestic-relations-law/dom-sect-240/
North Carolina,NC,income_shares,,2023-01-01,4,"N.C. Gen. Stat. § 50-13.4; NC Child Support Guidelines",https://www.nccourts.gov/documents/forms/north-carolina-child-support-guidelines
North Dakota,ND,percentage_of_income,varying,2023-07-01,4,"N.D. Admin. Code §§ 75-02-04.1-01 to -13",https://www.hhs.nd.gov/childsupport/partners/lawyers/child-support-guidelines/current-child-support-guidelines
Ohio,OH,income_shares,,2024-11-01,4,"Ohio Rev. Code §§ 3119.01-3119.24",https://codes.ohio.gov/ohio-revised-code/chapter-3119
Oklahoma,OK,income_shares,,2022-11-01,4,"Okla. Stat. tit. 43 §§ 118-120",https://law.justia.com/codes/oklahoma/title-43/section-43-118/
Oregon,OR,income_shares,,2023-07-07,4,"Or. Admin. R. 137-050-0700 to -0765",https://www.doj.state.or.us/child-support/calculators-laws/child-support-laws-and-rules/child-support-guideline-rules-137-050/
Pennsylvania,PA,income_shares,,2026-01-01,4,"231 Pa. Code R. 1910.16-1 to -7",https://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/231/chapter1910/s1910.16-1.html
Rhode Island,RI,income_shares,,2023-07-01,4,"R.I. Gen. Laws § 15-5-16.2; R.I. Fam. Ct. Admin. Order 23-02",https://ocss.ri.gov/attorney-info/child-support-guidelines
South Carolina,SC,income_shares,,2024-01-01,4,"S.C. Code Regs. §§ 114-4710 to 114-4750",https://dss.sc.gov/media/tarlq4ar/2024-child-support-guidelines-booklet-final.pdf
South Dakota,SD,income_shares,,2022-07-01,4,"S.D. Codified Laws §§ 25-7-6.1 to 25-7-6.27",https://dss.sd.gov/childsupport/obligationsdetermined.aspx
Tennessee,TN,income_shares,,2021-10-01,4,"Tenn. Comp. R. & Regs. 1240-02-04-.01 to -.09",https://publications.tnsosfiles.com/rules/1240/1240-02/1240-02-04.20211001.pdf
Texas,TX,percentage_of_income,varying,2025-09-01,4,"Tex. Fam. Code §§ 154.001-154.309",https://statutes.capitol.texas.gov/Docs/FA/htm/FA.154.htm
Utah,UT,income_shares,,2023-01-01,4,"Utah Code §§ 78B-12-101 to 78B-12-304",https://le.utah.gov/xcode/Title78B/Chapter12/78B-12.html
Vermont,VT,income_shares,,2024-01-02,4,"Vt. Stat. tit. 15 §§ 653-659",https://legislature.vermont.gov/statutes/section/15/011/00653
Virginia,VA,income_shares,,2025-07-01,4,"Va. Code §§ 20-108.1 to 20-108.2",https://law.lis.virginia.gov/vacode/title20/chapter6/section20-108.2/
Washington,WA,income_shares,,2026-01-01,4,"Wash. Rev. Code §§ 26.19.001-26.19.100",https://app.leg.wa.gov/rcw/default.aspx?cite=26.19&full=true
West Virginia,WV,income_shares,,2023-06-01,4,"W. Va. Code §§ 48-13-101 to 48-13-803",https://code.wvlegislature.gov/48-13/
Wisconsin,WI,percentage_of_income,flat,2024-01-01,4,"Wis. Admin. Code DCF §§ 150.01-150.05",https://docs.legis.wisconsin.gov/code/admin_code/dcf/101_199/150
Wyoming,WY,income_shares,,2023-07-01,4,"Wyo. Stat. §§ 20-2-301 to 20-2-315",https://law.justia.com/codes/wyoming/title-20/chapter-2/article-3/
