state,state_abbr,minimum_monthly_amount,minimum_type,notes,statute_citation,source
Alabama,AL,50,statutory_minimum,Minimum $50/month when obligor income is at or below poverty level,Ala. R. Jud. Admin. R. 32(C)(1),https://judicial.alabama.gov/docs/library/rules/ja32.pdf
Alaska,AK,50,statutory_minimum,Minimum support order $50/month for low-income obligors,Alaska R. Civ. P. 90.3(c)(3),https://courts.alaska.gov/rules/docs/civ90-3.pdf
Arizona,AZ,50,presumptive_minimum,$50/month minimum when obligor income at or below self-support reserve,A.R.S. § 25-320 Guidelines § 17,https://www.azcourts.gov/familylaw/Child-Support-Guidelines
Arkansas,AR,100,statutory_minimum,Minimum order of $100/month per Administrative Order No. 10,Ark. Admin. Order No. 10 § II(D),https://www.arcourts.gov/content/administrative-order-10-arkansas-child-support-guidelines
California,CA,50,statutory_minimum,Minimum $50/month for very low income obligors; court discretion below,Cal. Fam. Code § 4055(b)(7),https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?lawCode=FAM&division=9.&part=2.&chapter=2.&article=2.
Colorado,CO,50,statutory_minimum,Minimum $50/month for low-income obligors below self-support reserve,C.R.S. § 14-10-115(7)(b.5),https://law.justia.com/codes/colorado/title-14/dissolution-of-marriage-parental-responsibilities/article-10/section-14-10-115/
Connecticut,CT,50,self_support_reserve_based,$50/month minimum; self-support reserve protects obligor income below poverty,Conn. Child Support Guidelines § 46b-215a-2c(k),https://www.jud.ct.gov/publications/childsupport/csguidelines.pdf
Delaware,DE,,self_support_reserve_based,No fixed minimum; Melson formula ensures self-support reserve before calculating obligation,Del. Fam. Ct. Civ. R. 503,https://courts.delaware.gov/rules/
Florida,FL,50,presumptive_minimum,$50/month presumptive minimum for very low income obligors,Fla. Stat. § 61.30(11)(a)(2),https://www.flsenate.gov/Laws/Statutes/2025/61.30
Georgia,GA,75,statutory_minimum,$75/month minimum when obligor at or below poverty level,O.C.G.A. § 19-6-15(f)(5),https://law.justia.com/codes/georgia/title-19/chapter-6/section-19-6-15/
Hawaii,HI,,self_support_reserve_based,No fixed minimum dollar amount; Melson formula protects self-support reserve first,Haw. Rev. Stat. § 576D-7(a),https://www.courts.state.hi.us/wp-content/uploads/2020/10/Child_Support_Guidelines_2024.pdf
